Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company City,Company State,Company Country,Company Postal Code,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
WUZZUF,WUZZUF,Cold,,280,staffing & recruiting,assemihab26@gmail.com,http://www.wuzzuf.net,http://www.linkedin.com/company/wuzzuf-com,https://www.facebook.com/wuzzuf,https://twitter.com/wuzzuf,Cairo,Cairo Governorate,Egypt,,"saas, marketplaces, recruiting, egypt, information technology, enterprise software, software, hiring, recruitment solutions, jobs, career advice, recruitment services, talent profiling, employment, careers, jobs portal, jobs website",'+20202-2751-3258,"Amazon CloudFront, Route 53, Sendgrid, Gmail, Google Apps, Helpscout, Amazon AWS, KISSmetrics, Taleo, Cornerstone On Demand, iCIMS, Workday Recruit, SilkRoad, Breezy HR (formerly NimbleHR), Bootstrap Framework, ALEX, SmartRecruiters, Content.ad, Google Font API, Lever, Google Tag Manager, DoubleClick, HRMDirect, Multilingual, Hotjar, Google Analytics, Intercom, DoubleClick Conversion, PeopleFluent, Vimeo, HeapAnalytics, Mixpanel, Baidu Ads, reCAPTCHA, Google AdWords Conversion, Facebook Login (Connect), Facebook Widget, Google AdSense, Segment.io, Mobile Friendly, FullStory, Linkedin Marketing Solutions, Facebook Custom Audiences, Greenhouse.io, WordPress.org, React, Inspectlet, Disqus, Google Dynamic Remarketing, Criteo",7850000,Series B,6000000,5/2/2018,30000000,,6644a03c9c7e600001ee96fc,7371,"Wuzzuf is an online recruitment platform that enables employers to post job vacancies, search and hire talents.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6643a07774d7e500018ba329/picture
ELSEWEDY ELECTRIC,ELSEWEDY ELECTRIC,Cold,,18000,electrical/electronic manufacturing,assemihab26@gmail.com,http://www.elsewedyelectric.com,http://www.linkedin.com/company/elsewedyelectric,https://facebook.com/ElsewedyElectric,https://twitter.com/ElsewedyElec,New Cairo City,Cairo Governorate,Egypt,,"cables, accessories, electrical products, energy measurement, management, transformers, communications, wind energy generation, solar energy solutions, projects, development",'+20 2 27599760,"Outlook, Microsoft Office 365, Microsoft Azure Hosting, Salesforce, Taleo, OpenSSL, Google Analytics, DoubleClick Conversion, Google Dynamic Remarketing, Google Tag Manager, DoubleClick, Shutterstock, Google Maps, Google Maps (Non Paid Users), Mobile Friendly, Apache, Remote",550000000,Debt Financing,300000000,11/1/2023,29595000000,,6644a03c9c7e600001ee96f7,,"A global leader that has evolved from a local manufacturer of electrical products into an integrated infrastructure solutions provider; with over 19,000 employees and with recorded revenues of more than USD 5 billion in 2023  . We Operate in five key business sectors: Wire, Cable & Accessories, Electrical Products, Engineering & Construction, Digital Solutions, and Infrastructure Investments. With a strong presence in 19 different countries, 31 production facilities spread across African and Asian countries including Egypt, Algeria, KSA, Qatar, Indonesia, Pakistan, and Tanzania. We export a wide range of high-end products to over 110 countries worldwide. At the heart of our approach is an all-in-one integrated Engineering, Procurement & Construction (EPC) service, enabling us to deliver the most complex turnkey projects on time and with the highest efficiency.

A vital part of our mission is ensuring that the communities where we operate develop and flourish. We work to facilitate the global transition toward a sustainable energy future, whereby we established green energy projects and smart cities across Africa, the Middle East, and Eastern Europe. In alignment with our 2030 sustainability strategy, we aim to extend and enhance our positive impact, provide energy services to a growing customer base, and drive decarbonization, digitalization, and sustainable transition in Egypt and beyond.

Our growth has been driven by hiring talents and empowering businesses and communities where we operate. We enable customers to digitize and meet the challenges of an ever-changing world. Our extensive range of digital solutions allows them to become smarter, faster, and more agile. We are committed to doing our best to serve our customers while caring for the environment. We aim to use our knowledge of our environmental impact to better develop more sustainable business scenarios and evaluate our future policies.",1938,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/663dfd62b97e7400012f8fae/picture
Hassan Allam Holding,Hassan Allam Holding,Cold,,45000,construction,assemihab26@gmail.com,http://www.hassanallam.com,http://www.linkedin.com/company/hassan-allam-holding,,,Cairo,Cairo Governorate,Egypt,,"engineering, construction, investment, development",'+20 2 22659000,"Outlook, Microsoft Office 365, Google Font API, YouTube, Google Tag Manager, Shutterstock, Bootstrap Framework, Mobile Friendly",,,,,21600000000,,6644a03c9c7e600001ee96f9,,"Hassan Allam Holding is a leading group with a focus on engineering and construction, and investment and development. The Group operates in diverse sectors including infrastructure, energy, water, industrial, logistics, petrochemical, and complex large-scale projects in Egypt and the MENA region. The founders of Hassan Allam Holding commenced operations in 1936, making the oldest construction franchise in the MENA region with a solid reputation, superior technical capabilities, and a diversified portfolio. With a legacy of identifying and investing in attractive infrastructure projects, in the past five years, it has delivered over 70 projects and has a current backlog exceeding USD 5 billion. The Group is named among the Engineering News-Record (ENR) list of the top 250 global contractors.   

Today, we continue to lead our industry with a large dynamic business, employing more than 45,000 employees in Egypt and the MENA Region.",1936,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/663a2ec057fc5d0001c74bcf/picture
National Bank of Egypt (NBE),National Bank of Egypt,Cold,,23000,banking,assemihab26@gmail.com,http://www.nbe.com.eg,http://www.linkedin.com/company/national-bank-of-egypt,https://facebook.com/NBE1898/,https://twitter.com/nbe1898?lang=en,Cairo,Cairo Governorate,Egypt,,,'+20 02 0219623,"Vimeo, Facebook Login (Connect), Google Analytics, Google Maps, Google Play, Facebook Widget, Mobile Friendly, Facebook Custom Audiences, Google Tag Manager, Google Maps (Non Paid Users), Bootstrap Framework, Google Font API, Facebook Like Button, YouTube, Data Analytics",300000000,Debt Financing,200000000,11/1/2021,3308640000,,6644a03c9c7e600001ee96fa,,"Since its inception in 1898 with a capital of GBP1 million, NBE has been regarded as one of the oldest and most respected commercial banks in Egypt.Never isolated from national issues or concerns, NBE has been the primary supporter of Egypt's national economy by financing the major Egyptian national projects.
NBE's missions and operations have continuously evolved throughout history and the economic and political changes experienced by the country.NBE was entrusted with issuing banknotes and handling government accounts, then in the 1950's its activities evolved to undertaking the duties of the Central Bank. In the 1960's it focused on commercial banking while still handling the central banking duties in locations where the Central Bank had no branches. Eventually, issuing and managing Investment Certificates for the State.NBE currently controls 23.6% of the market share of total assets in the Egyptian banking sector, 25.8% of total deposits, and 21.8% of total loans.
NBE owns a large network includes over 337 branches, offices and banking units across the country, alongside an international presence through NBE (United Kingdom), NBE (Republic of the Sudan) and NBE's branches in New York (United States of America) and Shanghai (People's Republic of China), as well as representative offices in Johannesburg (South Africa), Dubai (United Arab Emirates), and Adis Ababa (Republic of Ethiopia), in addition to a branch in the Dubai International Finance Center.NBE also has a network of correspondents throughout the world, but centered in Europe— Egypt's primary trade partner.NBE is always keen on an effective presence in brokerage, financing different sectors, and maintaining the client's trust by offing the best and latest services.Whilst leading the local banking market,NBE is continuously upgrading its network of branches and channels of electronic communication, and strives to refine its human resources through advanced national and international training programs.",1898,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66449068fc57da00019086e6/picture
Free courses & books,Free courses & books,Cold,,400,e-learning,assemihab26@gmail.com,http://www.freecoursesandbooks.net,http://www.linkedin.com/company/free-courses-books,,,,Giza Governorate,Egypt,,,,"Google Tag Manager, Google Font API, Mobile Friendly, Google Analytics, WordPress.org, Nginx, DoubleClick, Google AdSense",,,,,,,6644a03c9c7e600001ee96e7,,book and course .article . photo,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6623cebdca46c10007be4af1/picture
AfdlJobs.com,AfdlJobs.com,Cold,,750,human resources,assemihab26@gmail.com,http://www.afdljobs.com,http://www.linkedin.com/company/afdljobs,https://www.facebook.com/afdljobs,https://twitter.com/afdljobs,Cairo,Cairo Governorate,Egypt,,"recruitment, workshops, careers, courses",,"Ember JS Library, SendInBlue, Baidu Ads, Mobile Friendly, WordPress.org, Google AdSense, Apache, Google Tag Manager, DoubleClick, jPlayer, Vimeo, reCAPTCHA, Bootstrap Framework, Google Analytics, Google Font API",,,,,,,6644a03c9c7e600001ee96e8,,Jobs in Egypt and the Gulf Countries.,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/65adda8773affe0001cba9eb/picture
EVA pharma,EVA pharma,Cold,,5000,pharmaceuticals,assemihab26@gmail.com,http://www.evapharma.com,http://www.linkedin.com/company/eva-pharma,https://www.facebook.com/Evapharma,https://twitter.com/_evapharma,,Giza Governorate,Egypt,,"pharma, pharmaceutical, production, quality, sales, research & development, medical representative, medical, microbiology, hr, engineer, marketing, sterile, business development, supply chain, procurement, sourcing, planning",'+20 2 23992700,"Cloudflare DNS, Gmail, Outlook, Google Apps, CloudFlare Hosting, Create React App, Microsoft Azure, SendInBlue, Vimeo, Google Analytics, Google Font API, Facebook Custom Audiences, Facebook Login (Connect), WordPress.org, Facebook Widget, Shutterstock, Google Tag Manager, Mobile Friendly",,,,,542000000,,6644a03c9c7e600001ee96f6,8000,"A purpose driven diverse top team that strives to save and improve millions of lives by sustainably offering accessible , high value medicines and health care solutions that address local patients needs

Established in 1997, EVA Pharma is built on the heritage of Les Laboratories Delta, Egypt's second oldest pharmaceutical company.

Currently EVA Pharma is one of the leading branded generic pharmaceutical manufacturers in the EMEA  region. With a CAGR of 30% over the past seven years, it has proudly earned the title of being the fastest growing pharmaceutical company in the region. EVA Pharma successfully operates in branded generics, OTC, food supplements, herbal medicines and veterinary products with 137 pharmaceutical products covering various therapeutic classes including; Neurology, Psychiatry, Cardiovascular, Orthopedics, GIT, Pediatrics, Urology, and Dermatology. The company is home to cutting edge facilities that are internationally recognized for innovation and the highest quality standards. Its exceptional facilities have earned the stamp of approval from international and regional authorities including European medicine agency, Health Canada, sFDA, & GCC enabling EVA Pharma to be a partner for some of the leading pharma companies in the globe",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/663e5e4152ce770001f1575f/picture
Orascom Construction PLC,Orascom Construction PLC,Cold,,15000,construction,assemihab26@gmail.com,http://www.orascom.com,http://www.linkedin.com/company/orascom-construction-plc,https://www.facebook.com/OrascomConstructionLtd/,,Cairo,Cairo Governorate,Egypt,,"engineering, procurement, construction",'+20 2 24611111,"Outlook, Microsoft Office 365, CloudFlare Hosting, Mobile Friendly, WordPress.org, Google Font API, Remote",25000000,Debt Financing,25000000,9/1/2020,4179999000,,6644a03c9c7e600001ee96fd,,"Orascom Construction (OC) is a leading global engineering and construction contractor primarily focused on infrastructure, industrial and high-end commercial projects in the Middle East, Africa, and the United States. The Group has consistently ranked among the world's top contractors. Orascom Construction also develops and invests in infrastructure opportunities, owns 50% of BESIX Group, and holds a construction materials, facility management and equipment services portfolio. For more information, please visit www.orascom.com.",1950,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66412ba7ecde2b00014e9073/picture
Banque Misr,Banque Misr,Cold,,20000,banking,assemihab26@gmail.com,http://www.banquemisr.com,http://www.linkedin.com/company/banque-misr,https://www.facebook.com/pages/Banque-Misr/190518877652967,https://twitter.com/BanqueMisr,Cairo,Cairo Governorate,Egypt,,"commercial banking, financial services, banking",'+20 2 35366076,"Microsoft Office 365, DoubleClick Conversion, Google Font API, Facebook Widget, YouTube, Google Maps, Google Play, Google Maps (Non Paid Users), Mobile Friendly, Facebook Custom Audiences, Facebook Login (Connect), ASP.NET, Google Tag Manager, Google Analytics, SiteCore, Google Dynamic Remarketing, reCAPTCHA, DoubleClick, AppDynamics, Remote",965000000,Debt Financing,160000000,11/1/2022,40800000000,,6644a03c9c7e600001ee96eb,6199,"Banque Misr was established in 1920 by the pioneer economist Mohamed Talaat Harb Pasha, who came up with the concept of investing national saving and directing them towards economic and social development and thus Banque Misr became the first bank to be wholly owned by Egyptians.

Since 1920, Banque Misr has been concerned with the establishment of companies in various fields, including spinning and weaving, insurance, transportation, aviation and cinema, and has continued to support all its activities at a steady rate, Banque Misr currently owns equity in 163 projects including financial, industrial, tourism, housing, Agri and food, general service, in addition to projects in the field of communication and information.

Banque Misr has also established major investment funds in Egypt as a part of a diversified portfolio, and has been granted an award by the Global Finance Treasury and Cash Management Awards, as the ""Best Provider of Money Market Funds in Africa and the Middle East for the year 2009 and 2010""​, and ""Best Provider of Money Market Funds in the Middle East for the year 2008, 2012, 2013 and 2014""​, and ""Best provider of Money Market funds and short- term investments in the Middle East for the year 2015,2016 and 2017""​.

A true pioneer in the region, Banque Misr became the first bank in Egypt and North Africa to become compliant with PCI data security standards, upon obtaining the global Payment Card Industry Data Security Standard (PCI DSS) certification. Utilizing the latest technology in the banking sector, Banque Misr is constantly looking to expand customer access to banking services. Today, Banque Misr is proud to offer one of Egypt's largest ATM networks, located across all areas of Egypt.

Banque Misr's role is evident in all economic fields due to its geographic outreach. The bank's 14110 employees serve a large client base of more than 6.8 million clients in Egypt and a total paid-up capital amounting to EGP 15 billion.

The Bank currently owns and operates more than 580 electronically connected local branches, including 5 branches in the United Arab Emirates, one in France, in addition to regional and global existence in Lebanon, Germany and worldwide network of correspondents.",1920,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6641d06dab97db00011ceba4/picture
Abu Dhabi Islamic Bank - Egypt,Abu Dhabi Islamic Bank,Cold,,2200,banking,assemihab26@gmail.com,http://www.adib.eg,http://www.linkedin.com/company/abu-dhabi-islamic-bank---egypt,https://www.facebook.com/ADIBEgypt/,https://twitter.com/ADIBTweets,Cairo,Cairo Governorate,Egypt,,,'+20 2 38289300,"Google Maps (Non Paid Users), Facebook Login (Connect), Google Play, Bootstrap Framework, Google Tag Manager, Facebook Like Button, Linkedin Widget, Google Analytics, Facebook Custom Audiences, Criteo, Linkedin Login, iTunes, Mobile Friendly, Facebook Widget, Facebook Social Plugins, Google Maps",,,,,,,6644a03c9c7e600001ee96ec,,"Abu Dhabi Islamic Bank (ADIB) Egypt is an award-winning bank that started its operations in Egypt after the acquisition of the National Bank for Development (NBD), through the Emirati consortium between Abu Dhabi Islamic Bank and Emirates International Investment Company (EIIC) in 2007. As part of its strategy to be a leading universal Islamic bank in Egypt, the Bank focuses on offering a broad spectrum of Shari'a compliant banking solutions, to cater to the needs of corporate and retail customers, the development of a state-of-the art infrastructure, and revamping its 70 branch network. Aiming at integrating its services, the Bank established an Investment Banking arm, ADIB Capital Egypt, and a leasing company, ADILease.

Following the acquisition, the paid-up capital increased almost seven-fold from EGP 281mn to EGP 2bn and EGP 4bn authorized capital. ADIB Egypt posted EGP 237mn net profits end of 2014, which represents a 130% increase compared to the same period of 2013. ADIB Egypt succeeded in establishing a retail and corporate platform to service the customers in different segments and provide the necessary services of short-term and long-term finance. All these measures enabled the Bank to build a broad base portfolio of leading local and international companies operating in the Egyptian market.

In addition to the asset and liabilities products and treasury services all delivered through client centric teams, ADIB Egypt employs a dynamic team of over 2,000 experts providing a growing portfolio of Shari'a compliant products and services via a stimulating work environment for staff across its nationwide network of 70 branches, and 40 microfinance units.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/663af7c96237ce00013ab7ba/picture
